,item,originLabel,cultureLabel,ethnic_groupLabel,off_languageLabel,nameLabel,movementLabel,genreLabel,main_subjectLabel,memorializedLabel,sign_eventLabel,narrative_locLabel,countryLabel,taxonLabel,jurisdictionLabel,based_onLabel,part_ofLabel,native_labelLabel,cuisineLabel,areaLabel,used_byLabel,useLabel,political_ideoLabel,religionLabel,political_partyLabel,participant_inLabel,endemicLabel,indigenousLabel,country_sportLabel,subclass_ofLabel
0,Q32786,India,,,,,,drama film,,,,,,,,,,,,,,,,,,,,,,
1,Q371,United States,,,,,,indie rock,,,,,,,,,,,,,,,,,,,,,,
2,Q3729947,Spain,,,,Spanish,,humorous comics,,,,,,,,,,,,,,,,,,,,,,
3,Q158611,United States,,,,,,alternative rock,,,,,,,,,,,,,,,,,,,,,,
4,Q280375,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
5,Q104414508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city
6,Q3008535,,,,,,,,,,,,German Samoa,,,,,,,,,,,,,,,,,
7,Q85720601,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,
8,Q105570,,,,,,,,,,,,Poland,,,,World War II,,,,,,,,,,,,,
9,Q434841,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
10,Q4630640,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
11,Q5476713,,,,,,,,,,,,United States,,,,Nasdaq-100,,,worldwide,,,,,,,,,,
12,Q219293,United States,,,,English,,computer magazine,Computer,,,,United States,,,,,,,,,,,,,,,,,
13,Q131401366,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
14,Q520959,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
15,Q4635677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Q2850042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer animation
17,Q229390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
18,Q2180721,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
19,Q1060398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
20,Q4639659,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
21,Q275936,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
22,Q1758841,,,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,music festival
23,Q3602929,,,,,,,,jewelry,,,,United States,,,,,,,,,,,,,,,,,
24,Q3728308,Spain,,,,Spanish,,humorous comics,,,,,,,,,,,,,,,,,,,,,,
25,Q85739206,United Kingdom,,,,English,,,,,,,,,,,,,,,,,,,,,,,,
26,Q614986,,,,,,,nude,,,,,,,,Olympia,,,,,,,,,,,,,,
27,Q23912,,,,,,,animal art,,,,,,,,,,,,,,,,,,,,,,
28,Q277763,,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,
29,Q9513,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
30,Q1945630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Q301092,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
32,Q2708661,,,,,,,,,,,,,,,,,,,,,,,Nestorianism,,,,,,
33,Q30556,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
34,Q55210,,,Iranian peoples,,,,Minimalism,,,,,,,,,cinema of Iran,,,,,,,,,,,,,
35,Q157550,,,,,,,,,,UNESCO World Heritage Site record modification,,Germany,,,,,Reichsabtei Lorsch,,,,,,Catholicism,,,,,,
36,Q262737,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
37,Q84044419,,,,,,,,,,,,,,,,,,,,,,,Methodism,National Democratic Congress,,,,,
38,Q9457,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
39,Q25350,,,,,,,,,,,,,ἐλάτη,,,,,,,,,,,,,,,,tree
40,Q59647,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,
41,Q322956,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,
42,Q91,,,,,,,,,,assassination of Abraham Lincoln,,,,,,,,,,,,,Baptists,Republican Party,,,,,
43,Q4650387,,,,,,,,,,,,Philippines,,,,,,,,,,,,,,,,,
44,Q2822053,,,,,,,,,,,,,,,,mass for the dead,,,,,,,Catholic Church,,,,,,
45,Q332564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animated film
46,Q7849,,,,,,,,,,,,United Arab Emirates,,,,,,,,,,,,,,,,,Formula One Grand Prix
47,Q5670,,,,,,,poetry,,,,,,,,,,,,,,,,Islam,,,,,,
48,Q2704613,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
49,Q337429,,,,,,,,,,,,Portugal,,,,,,,,,,,,,,,,,
